Results
AGE|COUNTS
*****Counts for MODERNA_FEMALE_FATIGUE*****
0.08|1
0.5|1
0.92|1
4.92|1
13.0|3
14.0|2
15.0|2
16.0|13
17.0|14
18.0|88
19.0|89
20.0|137
21.0|177
22.0|231
23.0|251
24.0|295
25.0|316
26.0|376
27.0|353
28.0|418
29.0|417
30.0|469
31.0|478
32.0|485
33.0|516
34.0|515
35.0|549
36.0|597
37.0|593
38.0|580
39.0|600
40.0|613
41.0|599
42.0|655
43.0|581
44.0|524
45.0|566
46.0|529
47.0|653
48.0|543
49.0|628
50.0|711
51.0|715
52.0|655
53.0|618
54.0|608
55.0|659
56.0|671
57.0|652
58.0|703
59.0|664
60.0|708
61.0|729
62.0|655
63.0|683
64.0|680
65.0|819
66.0|782
67.0|733
68.0|679
69.0|692
70.0|636
71.0|577
72.0|544
73.0|536
74.0|506
75.0|363
76.0|354
77.0|341
78.0|311
79.0|269
80.0|220
81.0|164
82.0|177
83.0|149
84.0|105
85.0|94
86.0|95
87.0|77
88.0|60
89.0|55
90.0|37
91.0|34
92.0|31
93.0|15
94.0|26
95.0|13
96.0|5
97.0|9
98.0|3
99.0|3
100.0|2
101.0|1
102.0|2
103.0|1
*****Counts for MODERNA_FEMALE_HEADACHE*****
0.08|2
0.17|1
0.75|1
1.08|4
1.25|1
4.92|1
6.0|1
9.0|1
10.0|1
11.0|1
13.0|3
14.0|4
15.0|4
16.0|15
17.0|16
18.0|101
19.0|148
20.0|208
21.0|228
22.0|292
23.0|321
24.0|384
25.0|387
26.0|432
27.0|458
28.0|481
29.0|505
30.0|527
31.0|556
32.0|554
33.0|625
34.0|631
35.0|654
36.0|698
37.0|669
38.0|717
39.0|677
40.0|736
41.0|718
42.0|729
43.0|692
44.0|676
45.0|684
46.0|657
47.0|720
48.0|730
49.0|789
50.0|850
51.0|859
52.0|785
53.0|786
54.0|807
55.0|830
56.0|823
57.0|861
58.0|919
59.0|902
60.0|866
61.0|876
62.0|793
63.0|785
64.0|779
65.0|956
66.0|904
67.0|880
68.0|860
69.0|765
70.0|726
71.0|641
72.0|617
73.0|582
74.0|517
75.0|390
76.0|352
77.0|313
78.0|302
79.0|246
80.0|225
81.0|146
82.0|137
83.0|129
84.0|92
85.0|74
86.0|60
87.0|47
88.0|31
89.0|37
90.0|25
91.0|13
92.0|14
93.0|2
94.0|6
95.0|7
96.0|2
97.0|8
98.0|2
