Results
onset|COUNTS
*****Counts for MODERNA_FEMALE_FATIGUE*****
0.0|13942
1.0|10828
2.0|1408
3.0|685
4.0|432
5.0|302
6.0|357
7.0|676
8.0|543
9.0|262
10.0|179
*****Counts for MODERNA_FEMALE_HEADACHE*****
0.0|17817
1.0|12984
2.0|1521
3.0|717
4.0|457
5.0|349
6.0|316
7.0|598
8.0|488
9.0|251
10.0|193
*****Counts for MODERNA_FEMALE_PYREXIA*****
0.0|14109
1.0|12995
2.0|1127
3.0|512
4.0|310
5.0|245
6.0|212
7.0|415
8.0|294
9.0|170
10.0|148
*****Counts for MODERNA_MALE_FATIGUE*****
0.0|3708
1.0|3655
2.0|493
3.0|225
4.0|175
5.0|98
6.0|80
7.0|124
8.0|81
9.0|58
10.0|56
*****Counts for MODERNA_MALE_HEADACHE*****
0.0|4256
1.0|4089
2.0|487
3.0|212
4.0|170
5.0|103
6.0|87
7.0|113
8.0|77
9.0|53
10.0|51
*****Counts for MODERNA_MALE_PYREXIA*****
0.0|4165
1.0|4889
2.0|479
3.0|224
4.0|163
5.0|106
6.0|84
7.0|97
8.0|74
9.0|74
10.0|43
*****Counts for PFIZER_FEMALE_FATIGUE*****
0.0|12514
1.0|10299
2.0|1652
3.0|788
4.0|492
5.0|369
6.0|268
7.0|340
8.0|198
9.0|151
10.0|147
*****Counts for PFIZER_FEMALE_HEADACHE*****
0.0|16230
1.0|12450
2.0|1757
3.0|886
4.0|542
5.0|407
6.0|288
7.0|365
8.0|225
9.0|171
10.0|158
*****Counts for PFIZER_FEMALE_PYREXIA*****
0.0|10162
1.0|11042
2.0|1122
3.0|523
4.0|303
5.0|200
6.0|183
7.0|223
8.0|141
9.0|113
10.0|97
*****Counts for PFIZER_MALE_FATIGUE*****
0.0|3320
1.0|3376
2.0|561
3.0|321
4.0|197
5.0|149
6.0|118
7.0|137
8.0|63
9.0|75
10.0|66
*****Counts for PFIZER_MALE_HEADACHE*****
0.0|4014
1.0|3761
2.0|592
3.0|319
4.0|218
5.0|139
6.0|101
7.0|117
8.0|83
9.0|58
10.0|62
*****Counts for PFIZER_MALE_PYREXIA*****
0.0|3067
1.0|3978
2.0|573
3.0|279
4.0|196
5.0|137
6.0|98
7.0|91
8.0|80
9.0|65
10.0|59
