Min or max|at risk group| onset
min|FEMALE_MODERNA_FATIGUE|0.0
max|FEMALE_MODERNA_FATIGUE|10.0
min|FEMALE_MODERNA_HEADACHE|0.0
max|FEMALE_MODERNA_HEADACHE|10.0
min|FEMALE_MODERNA_PYREXIA|0.0
max|FEMALE_MODERNA_PYREXIA|10.0
min|MALE_MODERNA_FATIGUE is|0.0
max|MALE_MODERNA_FATIGUE|10.0
min|MALE_MODERNA_HEADACHE|0.0
max|MALE_MODERNA_HEADACHE|10.0
min|MALE_MODERNA_PYREXIA|0.0
max|MALE_MODERNA_PYREXIA|10.0
min|FEMALE_PFIZER_FATIGUE|0.0
max|FEMALE_PFIZER_FATIGUE|10.0
min|FEMALE_PFIZER_HEADACHE|0.0
max|FEMALE_PFIZER_HEADACHE|10.0
min|FEMALE_PFIZER_PYREXIA|0.0
max|FEMALE_PFIZER_PYREXIA|10.0
min|MALE_PFIZER_FATIGUE|0.0
max|MALE_PFIZER_FATIGUE|10.0
min|MALE_PFIZER_HEADACHE|0.0
max|MALE_PFIZER_HEADACHE|10.0
min|MALE_PFIZER_PYREXIA|0.0
max|MALE_PFIZER_PYREXIA|10.0
